product_name,review,review_date,score,user
Sony (DSCW800) 20.1 MP Digital Camera (Silver),"i've taken some amazing pics with this. people are shocked it was with a point and shoot.,I put a couple up for example.","August 21, 2016",5.0 out of 5 stars,Kristy
Sony (DSCW800) 20.1 MP Digital Camera (Silver),The battery life for this camera was less than 2 hours.  I charged it overnight to be ready for my tours the next day.  After about 20 pictures the battery was at half strength and lasted for maybe another 20 pictures.  The older Sony camera batteries had at least 6-8 hours of constant picture taking.  I even bought extra batteries but they weren't any better.  It was terrible for my trip to Scandinavia.  Good thing I had my Ipad otherwise I wouldn't have had any pictures to share with my friends.  You would think that newer cameras would work better but this camera is proof that statement is incorrect. My big Nikon Camera had batteries that last 6-8 hours without recharging..,"June 1, 2018",2.0 out of 5 stars,Jo Ann Meyer
Sony (DSCW800) 20.1 MP Digital Camera (Silver),Totally pleased with purchase!! Comes with three chords that when all put together Can be used to charge in the wall outlet. Then one chord can be used to charge in the computer. And one cord for the car.Super easy to use. To set up the camera is very simple and easy to figure out which button is which.It comes with a battery but no memory card the memory card I had to buy separately but it was not expensive and for the price of the camera I was not expecting it.It takes just your regular general memory card nothing fancy.The only issue I had with it was the arm strap. Even in the instructions it did not say how to attach it and we have yet to figure that out. So if someone could help us that would be great.The feature that helps you to get a focused picture even when you’re shaking a little bit works great.The instructions are pretty much basic and simple and so you may need to find out more information about it online.It works best for outdoor pictures I think. And the zoom is A very nice feature.They have continued to improve it in the past few years.It is lightweight but it has enough body to it to hold it easily when taking a picture.If there is no charge to the battery it takes approximately an hour to an hour and a half to charge.I purchased this camera for the purpose of taking outdoor nature pictures for the cards that I sell. And I am very pleased with the camera and so far think it is going to work great for that purpose. I would recommend this camera to anyone who just want something simple but well worth it with great quality.,"October 10, 2017",5.0 out of 5 stars,Joanna Burns
Sony (DSCW800) 20.1 MP Digital Camera (Silver),"Great little camera, perfect for my older mom who is technologically challenged ;-)","March 7, 2017",5.0 out of 5 stars,D. Kyle Cundiff 
Sony (DSCW800) 20.1 MP Digital Camera (Silver),"I have used Sony over the years because of their outstanding quality.  I read reviews before purchasing this one.  I take many, many pictures of mostly small Jewelry items.  I need a CRISP picture w/o graininess and good rich color.  I got neither.  I wish I had ordered my replacement sooner as this has been a big disappointment and I felt as if I maybe got a refurbished camera instead of a brand new one?  For the sake of two days, I am unable to return it.  Please do not buy if you need a camera for fine detailed pictures.  It will not do that for you.","September 8, 2018",2.0 out of 5 stars,B. Melendez
Sony (DSCW800) 20.1 MP Digital Camera (Silver),This is probably a good general camera but wasn’t what I looking for. I tried this out at a zoo but since most animals were moving the pictures came out blurry and I couldn’t find a setting to fix this. There is a delay from when you push the button to the picture being taken to the picture showing on the display. The display is pretty low resolution and made me wonder what the quality of the pictures truly were.,"November 12, 2017",2.0 out of 5 stars,Sara Amirahmadi
Sony (DSCW800) 20.1 MP Digital Camera (Silver),"I previously had a Canon S100, which was a good camera for me, but I damaged the racked out lens when it got bumped.  The S100 had worked well for me, but now is not available as new. I read the reviews of other cameras, and thought this Sony camera might be a good camera to use for shooting stills and video at concerts where the venue does not allow larger ""professional"" cameras.  I was very disappointed  in the auto focus function of this camera. It even has an auto-tracking selection where you are supposed to be able to pick a point in the frame to follow focus, but this was still not helpful in stills shooting, and did not seem to be an option for tracking focus in video shooting. I think my cell phone was a better choice for this purpose, but I had wanted a better optical zoom. This camera, despite the 5X zoom, still was not powerful enough to really get me the close ups I was looking for. I also has trouble with slow shutter speeds in a concert I took pix of, making horribly unusable photos. The menu also was not very intuitive.  Because of the focusing and slow shutter speed and menu issues, I promptly returned this for a refund, and received the refund quickly from Amazon.","August 23, 2018",2.0 out of 5 stars,Digster
Sony (DSCW800) 20.1 MP Digital Camera (Silver),Gave this to my granddaughter for her 9th birthday.  It is nice because she can hook to their computer and don't have to worry about wasting film for bad pictures.  Taking good pictures has to be learned through  practice.,"January 21, 2018",5.0 out of 5 stars,G. Begin
Sony (DSCW800) 20.1 MP Digital Camera (Silver),"Hey the camera does have a slow exposure because of the small sensor. That did not bother me since it takes great photos. I know some people complain of the slow shutter. This is not a camera I would be taking to a sporting event or concert or birthday party. This camera is perfect for sightseeing and landscapes.,As I have other more expensive cameras for that type of photography.  I just wanted something compact to take on airplane when traveling and when I was traveling light. To take nice pictures. You know sometimes you are traveling and do not have time to carry around a dedicated camcorder and a hybrid point and shoot and a dslr. Sometimes you just want to enjoy the vacation and leave your fancy camera at home. That's where the dsc800 comes in handy. I will be updating this review with pictures. In the coming days.","March 30, 2019",4.0 out of 5 stars,Jim
Sony (DSCW800) 20.1 MP Digital Camera (Silver),The first thing I notice is how light the camera is; it seems to be made out of 80%+ plastic. Easy to use. Small and will fit in a pants pocket. I had it on Easy mode and the pictures I took were not in focus so I am returning it. Considering upgrading.,"August 16, 2018",3.0 out of 5 stars,Amazon Customer
Canon PowerShot SX530 HS Digital Camera with 50x Optical Image Stabilized Zoom with 3-Inch LCD HD 1080p Video (Black)+ Extra Battery + 24GB Class 10 Card Complete Deluxe Accessory Bundle And Much More,"After reading the reviews I was skeptical about the zoom/focus.  After using the camera on a family outing...sure enough when I zoomed in on a subject..it was difficult to maintain a steady hand...and it appeared that my ""close ups"" were not going to be so good.  To my surprise, when I went to transfer the pictures to a folder..ALL the close ups were in focus and crystal clear. (Just make sure the shutter speed is set faster)  Every thing was delivered on time...seems to be a great ""Beginners"" camera for those who wish to be a little better than the average ""Family Photographer"".","May 13, 2017",5.0 out of 5 stars,tribefan53
Canon PowerShot SX530 HS Digital Camera with 50x Optical Image Stabilized Zoom with 3-Inch LCD HD 1080p Video (Black)+ Extra Battery + 24GB Class 10 Card Complete Deluxe Accessory Bundle And Much More,"Awesome picture quality ! Not the most intuitive,,,there is a learning curve ! But if you stick with it it pays off with photo quality of far more expensive cameras. I called an 800 Canon number and the technical support tech was OUTSTANDING in her knowledge and patience ! Then there was a hawk in the tree in front of our condo, and I zoomed, and zoomed, and zoomed !!","February 18, 2019",4.0 out of 5 stars,GeoPhilly
Canon PowerShot SX530 HS Digital Camera with 50x Optical Image Stabilized Zoom with 3-Inch LCD HD 1080p Video (Black)+ Extra Battery + 24GB Class 10 Card Complete Deluxe Accessory Bundle And Much More,"Love this camera, great price. Love the zoom on this. The picture was taken from Garret Mountain in Paterson, 15 miles from New York City but I still got a great zoom on it.","June 22, 2017",5.0 out of 5 stars,Ricardo V
Canon PowerShot SX530 HS Digital Camera with 50x Optical Image Stabilized Zoom with 3-Inch LCD HD 1080p Video (Black)+ Extra Battery + 24GB Class 10 Card Complete Deluxe Accessory Bundle And Much More,"Takes great pictures/video and the zoom lens is absolutely super. In fact, I gave my Nikon DSLR to my grandson as this does everything I need and the picture quality is just as good. Further, this KIT includes all the basic stuff you would need to get going with a new camera. I particularly like the case that comes with it, very sturdy ballistic nylon fabric that holds what you need and is nicely padded with a strong removable strap. It zippers and snaps closed.,Very, very pleased so far","September 27, 2018",5.0 out of 5 stars,John M.
Canon PowerShot SX530 HS Digital Camera with 50x Optical Image Stabilized Zoom with 3-Inch LCD HD 1080p Video (Black)+ Extra Battery + 24GB Class 10 Card Complete Deluxe Accessory Bundle And Much More,"Best starter camera I have found.  This is a light weight camera easy to use.  Extra battery and carrying case made this fir a great purchase. Love that there are different straps and ways to carry when and about. Pictures are crystal clear, excellent zooming capabilities for a starter camera, would deffenitly purchase again, willbeven advise others this product!","June 6, 2018",5.0 out of 5 stars,Jennifer
Canon PowerShot SX530 HS Digital Camera with 50x Optical Image Stabilized Zoom with 3-Inch LCD HD 1080p Video (Black)+ Extra Battery + 24GB Class 10 Card Complete Deluxe Accessory Bundle And Much More,"I have been getting some great shots with it. Some out of my boat in high winds with boat rocking. The zoom is great. Here is one shot, I used the zoom in a very rocky boat at about 150 yards.","February 10, 2017",5.0 out of 5 stars,David
Canon PowerShot SX530 HS Digital Camera with 50x Optical Image Stabilized Zoom with 3-Inch LCD HD 1080p Video (Black)+ Extra Battery + 24GB Class 10 Card Complete Deluxe Accessory Bundle And Much More,"I LOVE THIS CAMERA. it's excellent for a beginer b/c you just turn the knob and does all the work for you. it also has a good zoom, but not one you can take off and replace with a better one when you b/come a better photographer. i can live with that, except that i want to take pictures of hummingbirds, dragonflies, tiny blooms on native plants and other small birds but if you zoom to much it b/comes blurry. still, i HIGHLY recommend this camera for its beautiful colors and excellent quality.","November 2, 2018",5.0 out of 5 stars,D.D.
Canon PowerShot SX530 HS Digital Camera with 50x Optical Image Stabilized Zoom with 3-Inch LCD HD 1080p Video (Black)+ Extra Battery + 24GB Class 10 Card Complete Deluxe Accessory Bundle And Much More,Great pictures and the app on my i-phone works great with the camera.  I can take picture using my phone and easily upload pics to app and can email or text them right away.  Highly recommend this camera,"April 14, 2017",5.0 out of 5 stars,DCL
Canon PowerShot SX530 HS Digital Camera with 50x Optical Image Stabilized Zoom with 3-Inch LCD HD 1080p Video (Black)+ Extra Battery + 24GB Class 10 Card Complete Deluxe Accessory Bundle And Much More,"I absolutely love this camera. The camera I had before was the previous model, the SX500IS and I loved that one as well. I'm a professional photographer and filmmaker and felt lost without my camera. Was thrilled when it arrived the day of the Lunar Eclipse and I was able to capture this shot from my home. Easy to use, easy to handle, great results.","February 5, 2019",5.0 out of 5 stars,Cali Gilbert
Canon PowerShot SX530 HS Digital Camera with 50x Optical Image Stabilized Zoom with 3-Inch LCD HD 1080p Video (Black)+ Extra Battery + 24GB Class 10 Card Complete Deluxe Accessory Bundle And Much More,"I purchased this camera to make Youtube Videos. For the most part, it was very easy to use. I didn’t need to look at an instruction manual to figure out all the settings.,The pictures may look a bit blurred the moment you take a photo, but after you view your Photo Gallery, it looks really good.,For recording videos, I recommend this for beginner Youtubers. It captures a lot, it comes out pretty good, and you can add-on features to it like a microphone. I do recommend the microphone as it’s better for sound quality.","January 23, 2019",5.0 out of 5 stars,Chandra Koy
Nikon COOLPIX B500 16MP 40x Optical Zoom Digital Camera w/Built-in Wi-Fi NFC & Bluetooth (Black) + 16GB SDHC Accessory Bundle,"This was an amazing deal from Beach Camera!  Love the features of this Nikon Coolpix B500.  I'm not a camera person but I love to take pix, and this works very well.  It's like a step above a point-and-click, but with a wonderful lens that can zoom in tight.  I bought this for my husband's birthday because he liked my other one so much that I figured he should have his own.  (not that I don't mind sharing, but when we're together and trying to take pix, seems to me that we should not have to wait our turn to use this great camera),I was particularly impressed with the whole bundle from this seller.  There are so many great accessories included that aren't normally with a camera purchase.  The bag is a really good camera bag that adjusts to hold virtually anything you'd need.  Love that they included both a large spider tripod and a short tripod.  Plus, they sent a 64gb memory card which was a very nice touch.  The cleaning kit was included as was a USB reader for the memory card.  Also, despite the fact that this base camera comes with four batteries, they also included four rechargeable batteries together with a charger.  I think we got a great deal on this camera, and my husband is loving his new toy!","November 7, 2016",5.0 out of 5 stars,Female military veteran
Nikon COOLPIX B500 16MP 40x Optical Zoom Digital Camera w/Built-in Wi-Fi NFC & Bluetooth (Black) + 16GB SDHC Accessory Bundle,"I am a semi pro nature photographer and I found this camera a sore disappointment as it pertains to image quality. I have been using Fuji for about 15 years and I switched to Nikon for a change. It contained most of the basic features as my Fuji except the eye lens. Please note: You are only able to take a picture using the display. If you need to see extreme detail, this may frustrate you. With a 40x zoom, you need an eye lens. I used the camera for about a week and a half. The image quality  is terrible and every image on a regular/auto setting is thoroughly washed out. If you utilize the dawn/dusk or sunset setting it drops a blue cast over the image which in some cases looks ridiculous, but without it, it would be too bright. There is no definition or depth to the images. It seem to me I get either washed out/unremarkable images or blue images. Glare is hard to avoid as well even with a darker setting. You don't see this glare until you download the larger image. I have provided images side by side. From L to R is a cell phone image, one on Auto and one on Dawn/Dusk. At least the cell image has no glare. An everyday user for everyday life, this is fine. Other than that, it has no use. It is my opinion that the reviews posted are fictitious. There is simply no way I could be getting these pictures based on REAL reviews. It doesn't make sense.","March 13, 2019",1.0 out of 5 stars,Carol A. Corsaro
Nikon COOLPIX B500 16MP 40x Optical Zoom Digital Camera w/Built-in Wi-Fi NFC & Bluetooth (Black) + 16GB SDHC Accessory Bundle,"This camera is great.,1. Take a picture, it goes right to your phone BAM! Upload it, send it, easy to share.,2. Batteries, some may not like the AA type but for traveling it's Paramount.,Having a Keen eye makes for great picture taking and I've been away from it for a while now. My old Nikon N64 35MM film camera is still a champion.,But this camera is fun and easy to use.,Versatile in almost anyway.,And it takes outstanding photos.,So if you are new to the hobby or just want something that is ready to go and pull in from a good distance.,This camera will not upset you.,So easy to use.,Have fun!","August 5, 2017",5.0 out of 5 stars,Karen Franklin
Nikon COOLPIX B500 16MP 40x Optical Zoom Digital Camera w/Built-in Wi-Fi NFC & Bluetooth (Black) + 16GB SDHC Accessory Bundle,"This is an update to my last review.  This is a great camera for amateur photographers.  It is true to the advertisement.  It is a lot smaller than I expected, but I appreciate that it will be easier to slip into a purse when I travel.  Very comfortable to hold and use.  Straightforward features.  I would say the shutter (if that is the right word) is very slow.  So if you are setting up for a sudden photo op, you might miss it.  That is the reason I cannot give it five stars.  Also, I had a great customer service experience with Beach Camera.  Initially, when I got the camera, there was a defective European battery charger in the box, and for many reasons, it would be no good for a U.S. based customer.  Also, the batteries had already corroded.  It could be argued that someone should have caught it, but I understand mistakes happen.  I appreciate just how quickly they resolved the problem.  Thanks, Beach Camera!","May 25, 2018",4.0 out of 5 stars,Jambajan
Nikon COOLPIX B500 16MP 40x Optical Zoom Digital Camera w/Built-in Wi-Fi NFC & Bluetooth (Black) + 16GB SDHC Accessory Bundle,I love this camera. This thing is so much better than I expected. I originally bought it for filming my you tube channel but found that this camera takes great photos. The video is second to none and compairs to cameras costing much much more. The video sound quality is surprisingly good. This is the best camera purchase I have made in the last five years. I love I.,"December 16, 2016",5.0 out of 5 stars,Ory  Thompson
Nikon COOLPIX B500 16MP 40x Optical Zoom Digital Camera w/Built-in Wi-Fi NFC & Bluetooth (Black) + 16GB SDHC Accessory Bundle,high quality camera that takes great pictures. It has great zoom ability 40x's. I have used on a recent trip to Europe and it performed excellent. I believe there is a factory warranty. It would be awesome if we had the ability to buy a 2 or 3 year protection plan for this camera. BTW the red color stands out as everyone's camera is usually a dull black color!,"April 24, 2017",5.0 out of 5 stars,Hansolo22
Nikon COOLPIX B500 16MP 40x Optical Zoom Digital Camera w/Built-in Wi-Fi NFC & Bluetooth (Black) + 16GB SDHC Accessory Bundle,"This Nikon COOLPIX B500 Camera kit was an excellent purchase. First of all I love Nikon cameras, second of all this kit if perfect for a beginner level, or youth level of experience in photography, and overall it is just a really nice camera to use for everyday enjoyment in taking pictures. Set up is super easy and the accessories are a wonderful perk. Enjoy!","January 5, 2017",5.0 out of 5 stars,Aneesha L. McClure 
Nikon COOLPIX B500 16MP 40x Optical Zoom Digital Camera w/Built-in Wi-Fi NFC & Bluetooth (Black) + 16GB SDHC Accessory Bundle,"This camera is a lot of fun. Just started clicking away right out of the box. Played with some of the different features, and became even more comfortable with the camera. Practice practice practice. The manual is an easy start, but could be a little more detailed. The downloaded one is comprehensive.","July 22, 2017",4.0 out of 5 stars,david
Nikon COOLPIX B500 16MP 40x Optical Zoom Digital Camera w/Built-in Wi-Fi NFC & Bluetooth (Black) + 16GB SDHC Accessory Bundle,Love this easy to use camera. Have bought 3 of them as gifts. Great zoom capability and the images are crisp and clear. The photo shop software in this package was very nice and a true $50 value.,"February 23, 2017",5.0 out of 5 stars,sailaway459
Nikon COOLPIX B500 16MP 40x Optical Zoom Digital Camera w/Built-in Wi-Fi NFC & Bluetooth (Black) + 16GB SDHC Accessory Bundle,"01-15-19  Editing my review. Wish I had not bought this. Very disappointed in this Nikon. Enough so that my next purchase will be another brand altogether. *********This purchase was to replace my NikonCoolpix P510. Had that one for several years and finally the abuse caught up with it. I actually feel like I took a step down with this new camera. But, I have not used it a great deal yet so perhaps my opinion will change. I shot some video at a dog agility trial, even in good sun there was a bit of blur when I zoomed. One negative of note, the usb cable to allow me to upload directly to my pc is RIDICULOUSLY short. Too damn bad the usb cable from my old Nikon won't work with the new one. This camera is OK. Just not super.","November 3, 2018",1.0 out of 5 stars,Carolk9s
Canon PowerShot ELPH 180 20 MP Digital Camera (Red) + 32GB Card + Battery and Charger + Accessory Bundle,Takes a few seconds to focus but the pictures came out good.  I wish you could charge it with a regular cable instead of having to take the battery out and put it in a charger.,"March 29, 2018",4.0 out of 5 stars,Kindle Customer
Canon PowerShot ELPH 180 20 MP Digital Camera (Red) + 32GB Card + Battery and Charger + Accessory Bundle,"It came with everything noted, but also with the shoulder strap for the camera case, which one reviewer mentioned they didn't get. Most of this stuff I don't know what to do with, so will leave in their boxes until I figure them out (""USB multicard reader/writer"", tripod (extends to 8 ""), LCD/lens cleaner, memory card wallet, SanDisk Ultra 32GB SD Card (it says 16 mp photo/7 mb file size = 2000 and video (mpeg-4/H.264, 1920x1080 @30fps) in minutes = 40), and some odd Focus Squeegee card w fluid and Qtips and a floppy card w a grid and ruler printed on it (does anyone know what this stuff is for?), 1 battery, the charger (also a charger for the car and a converter for European plugs!).,Even though I don't know what everything is, it is still a good deal for a small point and shoot camera. And it is definitely a very small camera, but that's how they come, these days.","June 2, 2018",4.0 out of 5 stars,Kristin Maryland
Canon PowerShot ELPH 180 20 MP Digital Camera (Red) + 32GB Card + Battery and Charger + Accessory Bundle,"I am a senior...travel a lot...am NOT smart phone fan....I needed a simple , high quality camera to keep in my pocket while traveling. This one suits my needs perfectly....compact...has all the needed features. I had a Nikon ...time to replace....it actually had too many features.,Buying this as a package with what you need....is simple and easy....and you are ready to go!  All in all...great value...delivered two days with Prime! Life is good even when you get old....keep it simple!!!  My career marketing...learned that too many features...more things to fail...best to buy one step above the basic....last longer!!","July 21, 2018",4.0 out of 5 stars,tom colucci
Canon PowerShot ELPH 180 20 MP Digital Camera (Red) + 32GB Card + Battery and Charger + Accessory Bundle,"I'm a 71 year old who has pondered for years whether I should buy a better, more expensive camera although my PowerShot ELPH 100 HS (bought 5 yrs ago) worked well, and my pictures were satisfactory. After hours of research, I was still hesitant to shell out big money due to budgetary constraints. Then, I came across the Canon PowerShot 180 bundle. All I can say is, I'm completely satisfied with this camera, It's a great value, takes wonderful pictures, and has a bundle of accessories included. Run to your computer (or walk) and check out what's being offered! Few purchases please me as much, and I make dozens annually, mostly through Amazon.","August 30, 2018",5.0 out of 5 stars,Lee Coady
Canon PowerShot ELPH 180 20 MP Digital Camera (Red) + 32GB Card + Battery and Charger + Accessory Bundle,This is a great camera to have when you need something small that takes better pictures then your smartphone. It's small and easy to use. All the stuff that comes with the Kit its great as well. Definitely worth the money getting this camera with accessory kit.,"April 15, 2018",4.0 out of 5 stars,Michelle Smith
Canon PowerShot ELPH 180 20 MP Digital Camera (Red) + 32GB Card + Battery and Charger + Accessory Bundle,A very nice camera and collection of accessories. My only complaint was the lack of an instruction manual. When I went on line to download the manual it filled a 3 ring binder!,"September 7, 2017",5.0 out of 5 stars,F. Clef
Canon PowerShot ELPH 180 20 MP Digital Camera (Red) + 32GB Card + Battery and Charger + Accessory Bundle,"Easy to use, and a great bunch of super cool 'extras' came in the bundle. The camera takes sharp photos and uploading them is easy peasy too. I highly recommend this camera if you are looking for something simple and inexpensive but works great every time.","December 11, 2017",5.0 out of 5 stars,Dr. Richards
Canon PowerShot ELPH 180 20 MP Digital Camera (Red) + 32GB Card + Battery and Charger + Accessory Bundle,Bought this for my wife for Xmas and she loves it and uses it all the time. It take amazingly beautiful and clear pictures and videos,"January 24, 2018",5.0 out of 5 stars,Dustin
Canon PowerShot ELPH 180 20 MP Digital Camera (Red) + 32GB Card + Battery and Charger + Accessory Bundle,After reading the other reviews we purchased this package deal to replace our old camera that was being held together with rubber bands overall this is a great value for everything you get. We are fully satisfied with our purchase.,"February 5, 2018",5.0 out of 5 stars,Steven Schneider
Canon PowerShot ELPH 180 20 MP Digital Camera (Red) + 32GB Card + Battery and Charger + Accessory Bundle,"Well, for a P&S, this is a pretty good camera. Light weight and small enough to fit in a pocket, easy to use settings (yeah, you can throw that manual away), nice results (though not as good as a smart-phone. probably). Use the auto mode and go ahead and shoot, or choose your own settings. One thing I miss is the copy and edit functions that I had in my other P&S's. I was gonna buy an extra battery and memory card and camera case, anyway- so this package was both a deal and convenient. I might even use that wee tripod that weights only ounces.","December 21, 2017",5.0 out of 5 stars,Donnabeth Stewart
"HD Mini Digital Cameras,Point and Shoot Digital Cameras for Kids Teenagers Beginners-Travel,Camping,Outdoors,School (Black 2)","Only had this a few days, but so far I am impressed. I wanted a small camera that I could carry at all times, with a descent optical zoom and not pay to much for. Picture quality is great for this size of camera and it is very easy to use.Has some great settings on it to get some cool effects and the video quality is brilliant. I transfer pictures straight to my IPad.Which means I can put pictures straight onto FB or send pictures to friends and family straight away. I have not had a chance to test all of the camera functions, but the ones I had needed have worked well","June 28, 2019",5.0 out of 5 stars,Gloria W. Fritsch
"HD Mini Digital Cameras,Point and Shoot Digital Cameras for Kids Teenagers Beginners-Travel,Camping,Outdoors,School (Black 2)","I love that it has a wrist strap and little bag to store the camera in. She's having a grand time taking photos. We bought an SD card for 10 bucks to store the photos on; I'm not sure the camera would store them without it. Since it isn't marketed for children with a colorful kid-proof body or built-in games (which I really didn't want), it feels like the grown-up item that it is. It's easy enough to operate without reading the manual although some of the butttons are tiny and hard to see without reading glasses. The pictures are clear. I'd even recommend this for an adult who wants a basic camera with few frills.","July 6, 2019",5.0 out of 5 stars,Alex Martinez.
