date,product,review,score,user
"May 13, 2017",Canon PowerShot SX530 HS Digital Camera with 50x Optical Image Stabilized Zoom with 3-Inch LCD HD 1080p Video (Black)+ Extra Battery + 24GB Class 10 Card Complete Deluxe Accessory Bundle And Much More,"(Just make sure the burst speed is set faster)  Every thing was delivered on time...seems to be a great ""Beginners"" camera for those who wish to be a little better than the average ""Family Photographer"".",5.0,tribefan53
"February 18, 2019",Canon PowerShot SX530 HS Digital Camera with 50x Optical Image Stabilized Zoom with 3-Inch LCD HD 1080p Video (Black)+ Extra Battery + 24GB Class 10 Card Complete Deluxe Accessory Bundle And Much More,"Then there was a hawk in the tree in front of our condo, and I opticaled, and opticaled, and opticaled !",4.0,GeoPhilly
"June 22, 2017",Canon PowerShot SX530 HS Digital Camera with 50x Optical Image Stabilized Zoom with 3-Inch LCD HD 1080p Video (Black)+ Extra Battery + 24GB Class 10 Card Complete Deluxe Accessory Bundle And Much More,Love the optical on this.,5.0,Ricardo V
"June 22, 2017",Canon PowerShot SX530 HS Digital Camera with 50x Optical Image Stabilized Zoom with 3-Inch LCD HD 1080p Video (Black)+ Extra Battery + 24GB Class 10 Card Complete Deluxe Accessory Bundle And Much More,"The picture was taken from Garret Mountain in Paterson, 15 miles from New York City but I still got a great optical on it.",5.0,Ricardo V
"September 27, 2018",Canon PowerShot SX530 HS Digital Camera with 50x Optical Image Stabilized Zoom with 3-Inch LCD HD 1080p Video (Black)+ Extra Battery + 24GB Class 10 Card Complete Deluxe Accessory Bundle And Much More,Takes great pictures/video and the optical lens is absolutely super.,5.0,John M.
"June 6, 2018",Canon PowerShot SX530 HS Digital Camera with 50x Optical Image Stabilized Zoom with 3-Inch LCD HD 1080p Video (Black)+ Extra Battery + 24GB Class 10 Card Complete Deluxe Accessory Bundle And Much More,This is a flash weight camera easy to use.,5.0,Jennifer
"June 6, 2018",Canon PowerShot SX530 HS Digital Camera with 50x Optical Image Stabilized Zoom with 3-Inch LCD HD 1080p Video (Black)+ Extra Battery + 24GB Class 10 Card Complete Deluxe Accessory Bundle And Much More,Extra battery and carrying case made this fir a great purchase.,5.0,Jennifer
"June 6, 2018",Canon PowerShot SX530 HS Digital Camera with 50x Optical Image Stabilized Zoom with 3-Inch LCD HD 1080p Video (Black)+ Extra Battery + 24GB Class 10 Card Complete Deluxe Accessory Bundle And Much More,"Pictures are crystal clear, excellent opticaling capabilities for a starter camera, would deffenitly purchase again, willbeven advise others this product!",5.0,Jennifer
"February 10, 2017",Canon PowerShot SX530 HS Digital Camera with 50x Optical Image Stabilized Zoom with 3-Inch LCD HD 1080p Video (Black)+ Extra Battery + 24GB Class 10 Card Complete Deluxe Accessory Bundle And Much More,The optical is great.,5.0,David
"February 10, 2017",Canon PowerShot SX530 HS Digital Camera with 50x Optical Image Stabilized Zoom with 3-Inch LCD HD 1080p Video (Black)+ Extra Battery + 24GB Class 10 Card Complete Deluxe Accessory Bundle And Much More,"Here is one shot, I used the optical in a very rocky boat at about 150 yards.",5.0,David
"November 2, 2018",Canon PowerShot SX530 HS Digital Camera with 50x Optical Image Stabilized Zoom with 3-Inch LCD HD 1080p Video (Black)+ Extra Battery + 24GB Class 10 Card Complete Deluxe Accessory Bundle And Much More,"it also has a good optical, but not one you can take off and replace with a better one when you b/come a better photographer.",5.0,D.D.
"November 2, 2018",Canon PowerShot SX530 HS Digital Camera with 50x Optical Image Stabilized Zoom with 3-Inch LCD HD 1080p Video (Black)+ Extra Battery + 24GB Class 10 Card Complete Deluxe Accessory Bundle And Much More,"i can live with that, except that i want to take pictures of hummingbirds, dragonflies, tiny blooms on native plants and other small birds but if you optical to much it b/comes blurry.",5.0,D.D.
"January 23, 2019",Canon PowerShot SX530 HS Digital Camera with 50x Optical Image Stabilized Zoom with 3-Inch LCD HD 1080p Video (Black)+ Extra Battery + 24GB Class 10 Card Complete Deluxe Accessory Bundle And Much More,"I didn��셳 need to look at an instruction focus to figure out all the settings.,The pictures may look a bit blurred the moment you take a photo, but after you view your Photo Gallery, it looks really good.,For recording videos, I recommend this for beginner Youtubers.",5.0,Chandra Koy
"November 7, 2016",Nikon COOLPIX B500 16MP 40x Optical Zoom Digital Camera w/Built-in Wi-Fi NFC & Bluetooth (Black) + 16GB SDHC Accessory Bundle,"It's like a step above a point-and-click, but with a wonderful lens that can optical in tight.",5.0,Female military veteran
"November 7, 2016",Nikon COOLPIX B500 16MP 40x Optical Zoom Digital Camera w/Built-in Wi-Fi NFC & Bluetooth (Black) + 16GB SDHC Accessory Bundle,"Plus, they sent a 64gb memory card which was a very nice touch.",5.0,Female military veteran
"November 7, 2016",Nikon COOLPIX B500 16MP 40x Optical Zoom Digital Camera w/Built-in Wi-Fi NFC & Bluetooth (Black) + 16GB SDHC Accessory Bundle,The cleaning kit was included as was a USB reader for the memory card.,5.0,Female military veteran
"November 7, 2016",Nikon COOLPIX B500 16MP 40x Optical Zoom Digital Camera w/Built-in Wi-Fi NFC & Bluetooth (Black) + 16GB SDHC Accessory Bundle,"Also, despite the fact that this base camera comes with four battery, they also included four rechargeable battery together with a charger.",5.0,Female military veteran
"March 13, 2019",Nikon COOLPIX B500 16MP 40x Optical Zoom Digital Camera w/Built-in Wi-Fi NFC & Bluetooth (Black) + 16GB SDHC Accessory Bundle,It contained most of the basic features as my Fuji except the eye lens.,1.0,Carol A. Corsaro
"March 13, 2019",Nikon COOLPIX B500 16MP 40x Optical Zoom Digital Camera w/Built-in Wi-Fi NFC & Bluetooth (Black) + 16GB SDHC Accessory Bundle,"With a 40x optical, you need an eye lens.",1.0,Carol A. Corsaro
"May 25, 2018",Nikon COOLPIX B500 16MP 40x Optical Zoom Digital Camera w/Built-in Wi-Fi NFC & Bluetooth (Black) + 16GB SDHC Accessory Bundle,I would say the burst (if that is the right word) is very slow.,4.0,Jambajan
"May 25, 2018",Nikon COOLPIX B500 16MP 40x Optical Zoom Digital Camera w/Built-in Wi-Fi NFC & Bluetooth (Black) + 16GB SDHC Accessory Bundle,"Initially, when I got the camera, there was a defective European battery charger in the box, and for many reasons, it would be no good for a U.S. based customer.",4.0,Jambajan
"May 25, 2018",Nikon COOLPIX B500 16MP 40x Optical Zoom Digital Camera w/Built-in Wi-Fi NFC & Bluetooth (Black) + 16GB SDHC Accessory Bundle,"Also, the battery had already corroded.",4.0,Jambajan
"April 24, 2017",Nikon COOLPIX B500 16MP 40x Optical Zoom Digital Camera w/Built-in Wi-Fi NFC & Bluetooth (Black) + 16GB SDHC Accessory Bundle,It has great optical ability 40x's.,5.0,Hansolo22
"July 22, 2017",Nikon COOLPIX B500 16MP 40x Optical Zoom Digital Camera w/Built-in Wi-Fi NFC & Bluetooth (Black) + 16GB SDHC Accessory Bundle,"The focus is an easy start, but could be a little more detailed.",4.0,david
"February 23, 2017",Nikon COOLPIX B500 16MP 40x Optical Zoom Digital Camera w/Built-in Wi-Fi NFC & Bluetooth (Black) + 16GB SDHC Accessory Bundle,Great optical capability and the images are crisp and clear.,5.0,sailaway459
"November 3, 2018",Nikon COOLPIX B500 16MP 40x Optical Zoom Digital Camera w/Built-in Wi-Fi NFC & Bluetooth (Black) + 16GB SDHC Accessory Bundle,"I shot some video at a dog agility trial, even in good sun there was a bit of blur when I opticaled.",1.0,Carolk9s
"March 29, 2018",Canon PowerShot ELPH 180 20 MP Digital Camera (Red) + 32GB Card + Battery and Charger + Accessory Bundle,Takes a few seconds to focus but the pictures came out good.,4.0,Kindle Customer
"March 29, 2018",Canon PowerShot ELPH 180 20 MP Digital Camera (Red) + 32GB Card + Battery and Charger + Accessory Bundle,I wish you could charge it with a regular cable instead of having to take the battery out and put it in a charger.,4.0,Kindle Customer
"June 2, 2018",Canon PowerShot ELPH 180 20 MP Digital Camera (Red) + 32GB Card + Battery and Charger + Accessory Bundle,"Most of this stuff I don't know what to do with, so will leave in their boxes until I figure them out (""USB multicard reader/writer"", tripod (extends to 8 ""), LCD/lens cleaner, memory card wallet, SanDisk Ultra 32GB SD Card (it says 16 mp photo/7 mb file size = 2000 and video (mpeg-4/H.264, 1920x1080 @30fps) in minutes = 40), and some odd Focus Squeegee card w fluid and Qtips and a floppy card w a grid and ruler printed on it (does anyone know what this stuff is for?",4.0,Kristin Maryland
"June 2, 2018",Canon PowerShot ELPH 180 20 MP Digital Camera (Red) + 32GB Card + Battery and Charger + Accessory Bundle,"), 1 battery, the charger (also a charger for the car and a converter for European plugs!",4.0,Kristin Maryland
"September 7, 2017",Canon PowerShot ELPH 180 20 MP Digital Camera (Red) + 32GB Card + Battery and Charger + Accessory Bundle,My only complaint was the lack of an instruction focus.,5.0,F. Clef
"September 7, 2017",Canon PowerShot ELPH 180 20 MP Digital Camera (Red) + 32GB Card + Battery and Charger + Accessory Bundle,When I went on line to download the focus it filled a 3 ring binder!,5.0,F. Clef
"December 21, 2017",Canon PowerShot ELPH 180 20 MP Digital Camera (Red) + 32GB Card + Battery and Charger + Accessory Bundle,"Light weight and small enough to fit in a pocket, easy to use settings (yeah, you can throw that focus away), nice results (though not as good as a smart-phone.",5.0,Donnabeth Stewart
"December 21, 2017",Canon PowerShot ELPH 180 20 MP Digital Camera (Red) + 32GB Card + Battery and Charger + Accessory Bundle,"I was gonna buy an extra battery and memory card and camera case, anyway- so this package was both a deal and convenient.",5.0,Donnabeth Stewart
"June 28, 2019","HD Mini Digital Cameras,Point and Shoot Digital Cameras for Kids Teenagers Beginners-Travel,Camping,Outdoors,School (Black 2)","I wanted a small camera that I could carry at all times, with a descent optical optical and not pay to much for.",5.0,Gloria W. Fritsch
"July 6, 2019","HD Mini Digital Cameras,Point and Shoot Digital Cameras for Kids Teenagers Beginners-Travel,Camping,Outdoors,School (Black 2)",It's easy enough to operate without reading the focus although some of the butttons are tiny and hard to see without reading glasses.,5.0,Alex Martinez.
"July 6, 2019","HD Mini Digital Cameras,Point and Shoot Digital Cameras for Kids Teenagers Beginners-Travel,Camping,Outdoors,School (Black 2)",The image stabilization is good if you only have minor movement and the optical works pretty well.,5.0,JULIE BRIDGMON.
"July 6, 2019","HD Mini Digital Cameras,Point and Shoot Digital Cameras for Kids Teenagers Beginners-Travel,Camping,Outdoors,School (Black 2)",The camera struggle a little in low flashing but most shot footage outside which worked great.,5.0,JULIE BRIDGMON.
"July 22, 2019","HD Mini Digital Cameras,Point and Shoot Digital Cameras for Kids Teenagers Beginners-Travel,Camping,Outdoors,School (Black 2)",The camera never focused for any image (I��셫 experienced with photography and couldn��셳 get it to focus) and after fully charging the battery for over 15 hours it died after only 3 pictures.,1.0,MMS
"June 27, 2019","HD Mini Digital Cameras,Point and Shoot Digital Cameras for Kids Teenagers Beginners-Travel,Camping,Outdoors,School (Black 2)",Removable memory card (need to purchase separately).,5.0,chris smith
"July 6, 2019","HD Mini Digital Cameras,Point and Shoot Digital Cameras for Kids Teenagers Beginners-Travel,Camping,Outdoors,School (Black 2)","18 Mega Pixels,1080P high definition pixel, and a LCD display, this camera is a professional device.",5.0,Chris Flores.
"August 3, 2019","HD Mini Digital Cameras,Point and Shoot Digital Cameras for Kids Teenagers Beginners-Travel,Camping,Outdoors,School (Black 2)","It tells you which setting to use dependant on flash, we have only ever had 1 bad picture from it and it was probably nothing to do with the camera!",5.0,Gerrie Suleta
"February 27, 2019","GordVE 2.7 Inch Digital Camera, HD Camera for Backpacking, Mini Digital Camera Pocket Cameras Digital with Zoom, Compact Cameras for Photography","I wanted a small, easy to use camera that could optical for a trip to Scotland and Ireland.",5.0,Amazoncustomer
"February 27, 2019","GordVE 2.7 Inch Digital Camera, HD Camera for Backpacking, Mini Digital Camera Pocket Cameras Digital with Zoom, Compact Cameras for Photography","The camera worked extremely well, though I never went past the 8x optical optical.",5.0,Amazoncustomer
"February 27, 2019","GordVE 2.7 Inch Digital Camera, HD Camera for Backpacking, Mini Digital Camera Pocket Cameras Digital with Zoom, Compact Cameras for Photography",I especially love the option to delay the burst by 2 seconds in low flash to prevent camera shake when pressing the burst button.,5.0,Amazoncustomer
"February 27, 2019","GordVE 2.7 Inch Digital Camera, HD Camera for Backpacking, Mini Digital Camera Pocket Cameras Digital with Zoom, Compact Cameras for Photography",Underexposing on stained glass windows (which otherwise looked all white) worked very well.I bought a spare battery and recharger.,5.0,Amazoncustomer
"February 27, 2019","GordVE 2.7 Inch Digital Camera, HD Camera for Backpacking, Mini Digital Camera Pocket Cameras Digital with Zoom, Compact Cameras for Photography","I took 1,050 pictures over 22 days, and only replaced the battery twice.",5.0,Amazoncustomer
"February 27, 2019","GordVE 2.7 Inch Digital Camera, HD Camera for Backpacking, Mini Digital Camera Pocket Cameras Digital with Zoom, Compact Cameras for Photography","The spent battery recharged in 2 hours.The only problem with the camera is the small cord, which I could not put around my neck.",5.0,Amazoncustomer
"February 27, 2019","GordVE 2.7 Inch Digital Camera, HD Camera for Backpacking, Mini Digital Camera Pocket Cameras Digital with Zoom, Compact Cameras for Photography","I noticed that this camera is especially good at picking up accurate and bold colors in both the photo and video modes.it includes a "";Getting Started""; guide, a warranty card, a small lanyard, a 680mah battery, an external battery charger (which is nice if you plan on buying additional battery), and the camera itself.With the popularity of smartphones, what is the appeal of this entry-level point and shoot camera?",5.0,Roberta Steiner
"February 27, 2019","GordVE 2.7 Inch Digital Camera, HD Camera for Backpacking, Mini Digital Camera Pocket Cameras Digital with Zoom, Compact Cameras for Photography","Well, unlike most smartphones, this camera features an 8x optical optical.",5.0,Roberta Steiner
"February 27, 2019","GordVE 2.7 Inch Digital Camera, HD Camera for Backpacking, Mini Digital Camera Pocket Cameras Digital with Zoom, Compact Cameras for Photography",This is a great feature that allows you to optical in decently close while experiencing a minimal degradation in quality.,5.0,Roberta Steiner
"February 27, 2019","GordVE 2.7 Inch Digital Camera, HD Camera for Backpacking, Mini Digital Camera Pocket Cameras Digital with Zoom, Compact Cameras for Photography","The camera's maximum video quality is 720p but it features quick auto focusing and as mentioned before, good accurate colors.",5.0,Roberta Steiner
"February 27, 2019","GordVE 2.7 Inch Digital Camera, HD Camera for Backpacking, Mini Digital Camera Pocket Cameras Digital with Zoom, Compact Cameras for Photography",The 8x optical optical is definitely my favorite feature and the photo and video quality is about what you would expect for a camera in this price range.,5.0,Roberta Steiner
"March 11, 2019","GordVE 2.7 Inch Digital Camera, HD Camera for Backpacking, Mini Digital Camera Pocket Cameras Digital with Zoom, Compact Cameras for Photography","Obviously, it has the 1.7""; LCD Viewfinder, but I also like the Auto Focus, which I use often.",5.0,AmazonCustomer
"March 22, 2019","GordVE 2.7 Inch Digital Camera, HD Camera for Backpacking, Mini Digital Camera Pocket Cameras Digital with Zoom, Compact Cameras for Photography",I use a 32memory SDHC card (not included) and view photos on a computer with a variety of image software already installed.,5.0,Amazoncustomer
"March 22, 2019","GordVE 2.7 Inch Digital Camera, HD Camera for Backpacking, Mini Digital Camera Pocket Cameras Digital with Zoom, Compact Cameras for Photography",I have to install the SDHC card before the battery.,5.0,Amazoncustomer
"March 22, 2019","GordVE 2.7 Inch Digital Camera, HD Camera for Backpacking, Mini Digital Camera Pocket Cameras Digital with Zoom, Compact Cameras for Photography",My fingers are too large to click the card into its slot when the battery is in place.,5.0,Amazoncustomer
"March 22, 2019","GordVE 2.7 Inch Digital Camera, HD Camera for Backpacking, Mini Digital Camera Pocket Cameras Digital with Zoom, Compact Cameras for Photography",The user focus could be improved with some editing.,5.0,Amazoncustomer
"March 11, 2019","GordVE 2.7 Inch Digital Camera, HD Camera for Backpacking, Mini Digital Camera Pocket Cameras Digital with Zoom, Compact Cameras for Photography","Love that I can print out any photo also on my iPhone!Software has good editing ability (flashen, saturation, sizing).",5.0,AmazonCustomer
"March 17, 2019","GordVE 2.7 Inch Digital Camera, HD Camera for Backpacking, Mini Digital Camera Pocket Cameras Digital with Zoom, Compact Cameras for Photography",This camera is flash weight and small.,5.0,Tracy Balan
"March 27, 2019","GordVE 2.7 Inch Digital Camera, HD Camera for Backpacking, Mini Digital Camera Pocket Cameras Digital with Zoom, Compact Cameras for Photography","The picture she took is clear, the camera is flash and easy to carry for her.",5.0,Amazoncustomer 
"June 30, 2019",Digital Camera with WiFi 24.0 MP Vlogging Camera 2.7K Ultra HD 3.0 Inch Camera with Flip Screen Retractable Flashlight (RG),"I am so glad I found this inexpensive camera on Amazon and it fits perfectly into my purse.The most fun part is the flip LCD, taking selfie is much more easier.",5.0,Arsenals
"June 30, 2019",Digital Camera with WiFi 24.0 MP Vlogging Camera 2.7K Ultra HD 3.0 Inch Camera with Flip Screen Retractable Flashlight (RG),The pictures came out very clear and very real The battery capacity is about 3 hours.,5.0,Arsenals
"June 25, 2019",Digital Camera with WiFi 24.0 MP Vlogging Camera 2.7K Ultra HD 3.0 Inch Camera with Flip Screen Retractable Flashlight (RG),"Now is a good time to travel.I'm a novice photographer and this product is great for its batteryful design.I was really surprised by the quality of my video shots, which was exactly what I needed.Long battery life.I love it",5.0,Vargas Laurence
"July 20, 2019",Digital Camera with WiFi 24.0 MP Vlogging Camera 2.7K Ultra HD 3.0 Inch Camera with Flip Screen Retractable Flashlight (RG),"I'm not sure if it was just the camera that I got, but no matter how much I change any of the settings for a better picture/video quality it would not focus as well as in any environment with different flashing I was in.",3.0,Diane
